Domain,Sub_domain,Question,
금융보안IT,금융IT보안 심화,"Which of the following is NOT a correct feature of the IPv6 address system?
1 128-bit address length  
2 Reduced need for NAT  
3 Support for broadcast  
4 Auto-configuration capability",
금융보안IT,금융IT보안 심화,"Which of the following best describes a public network address?

1 It is not used on the Internet and is only used within internal networks.
2 It is uniquely used on the Internet and is globally unique.
3 It is temporarily assigned for communication between network devices.
4 It is not exposed to the outside through Network Address Translation (NAT).",
금융보안IT,금융IT보안 심화,"Which network device operates at the data link layer, connects network segments, and forwards data frames?
1 Router
2 Switch
3 Hub
4 Gateway",
금융보안IT,금융IT보안 심화,"Which of the following is not a protocol related to the operating principle of network sharing?
1 NetBIOS  
2 NetBEUI  
3 P2P  
4 SMTP",
금융보안IT,금융IT보안 심화,"Which of the following is a network tool used to trace the path of a network?

1 ping  
2 arp  
3 traceroute  
4 netstat",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate characteristic of a Denial of Service (DoS) attack?
1 Enhances security by encrypting network traffic.
2 Carries out attacks using multiple computers.
3 Exhausts the resources of a specific system to disrupt normal service.
4 Steals information by tampering with network packets.",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate response to a Distributed Denial of Service (DDoS) attack?
1 Monitor network traffic to detect abnormal signs.
2 Increase the level of database encryption.
3 Change user passwords regularly.
4 Keep the operating system’s security patches up to date.",
금융보안IT,금융IT보안 심화,"Which of the following best describes the operating principles and characteristics of different types of Distributed Denial of Service (DDoS) attacks?

1 A DDoS attack originates from a single system and paralyzes the server by increasing network traffic.
2 A DDoS attack uses multiple systems to carry out attacks simultaneously, exhausting the target server’s resources.
3 The main purpose of a DDoS attack is to exploit network vulnerabilities to steal data.
4 A DDoS attack mainly occurs inside a system through malware.",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a characteristic of vulnerability scanning?
1 Identifies security vulnerabilities in the system.
2 Analyzes and encrypts network traffic.
3 Detects vulnerabilities using automated tools.
4 Suggests areas where security patches are needed.",
금융보안IT,금융IT보안 심화,"What is the main objective of a session hijacking attack?
1 To protect network traffic by encrypting it.
2 To intercept a user's session and steal their privileges.
3 To block network traffic and cause a denial of service.
4 To tamper with network traffic and compromise data integrity.",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate technology to prevent sniffing attacks?
1 Firewall configuration
2 IDS/IPS configuration
3 Use of VPN
4 NAT configuration",
금융보안IT,금융IT보안 심화,"Which of the following best describes the characteristics of a Trojan in the context of how remote access attacks work?

1 It is secretly installed on the system and creates a backdoor.
2 It encrypts network traffic before transmission.
3 It automatically deletes all files on the system.
4 It continuously displays warning messages to the user.",
금융보안IT,금융IT보안 심화,"What is the most appropriate response to remote access attacks?
1 Block all ports through firewall settings.
2 Apply multi-factor authentication for remote access.
3 Transmit all network traffic without encryption.
4 Allow an unlimited number of IP addresses for remote access.",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate main feature of the SSL/TLS security protocol?
1 Provides data compression functionality  
2 Ensures data integrity and confidentiality  
3 Monitors network traffic  
4 Enhances user access control",
금융보안IT,금융IT보안 심화,"Which of the following best describes the application of network security technologies?
1 A firewall encrypts all traffic within the network.
2 An IDS analyzes network traffic in real time and blocks attacks.
3 An IPS monitors network traffic, detects attacks, and provides alerts.
4 A VPN allows remote users to securely access the network.",
금융보안IT,금융IT보안 심화,"What is the most important factor when identifying network security threats through log analysis?
1 The size of the log file
2 The storage location of the log file
3 The generation cycle of the log file
4 The analysis of the log file contents",
금융보안IT,금융IT보안 심화,"Which of the following cannot be determined from a packet's header information?
1 Sender's IP address
2 Receiver's IP address
3 Content of the data
4 Type of protocol",
금융보안IT,금융IT보안 심화,"What is the main purpose of NAT (Network Address Translation) in network security?

1 Encryption of network traffic  
2 Privatization and protection of IP addresses  
3 Verification of data packet integrity  
4 Enhancement of user authentication procedures",
금융보안IT,금융IT보안 심화,"Which of the following is NOT an appropriate technology used for FTP security?
1 SSL/TLS  
2 SFTP  
3 FTPS  
4 HTTP",
금융보안IT,금융IT보안 심화,"Which of the following is a correct description of the concept of the FTP service?
1 It is a protocol for file transfer, and is basically encrypted by default.
2 It is a protocol for transferring web pages, mainly used to transfer HTML files.
3 It is a protocol for file transfer, and files are basically transferred without encryption by default.
4 It is a protocol for sending emails, and is used together with SMTP.",
금융보안IT,금융IT보안 심화,"Which of the following is NOT an appropriate method for strengthening the security of a mail server in Internet application security?
1 Allowing spam mail relay
2 Strengthening SMTP security settings
3 Encrypting mail transmission and reception protocols
4 Access control for the mail server",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate security measure in Internet application security?
1 Improving user experience
2 Configuring a firewall
3 Enhancing graphic performance
4 Data compression",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a type of Web/App attack?
1 SQL Injection
2 Cross-Site Scripting (XSS)
3 Buffer Overflow
4 Data Backup",
금융보안IT,금융IT보안 심화,"What is the main function of DNSSEC in DNS security?
1 Data encryption
2 Data integrity verification
3 Data compression
4 Data recovery",
금융보안IT,금융IT보안 심화,"In internet application security, which of the following attacks involves executing malicious scripts through user input as one of the security vulnerabilities of web applications?
1 SQL Injection
2 Cross-Site Scripting (XSS)
3 Buffer Overflow
4 Session Hijacking",
금융보안IT,금융IT보안 심화,"Which attack, among the types of DNS attacks, involves an attacker manipulating the cache of a DNS server to provide incorrect information?
1 DNS spoofing
2 DNS amplification attack
3 DNS reflection
4 DNS cache poisoning",
금융보안IT,금융IT보안 심화,"What problems can occur if important information is not stored in encrypted form in database security?
1 Data integrity damage
2 Data leakage
3 Data duplication
4 Data compression",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate reason for storing important information in an encrypted form in database (DB) security?
1 To improve database performance
2 To save database storage space
3 To ensure database integrity
4 To maintain database confidentiality",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate way to defend against SQL injection attacks in web application security?
1 Increase the frequency of database backups.
2 Validate and filter user input.
3 Regularly delete web server logs.
4 Encrypt network traffic.",
금융보안IT,금융IT보안 심화,"Which protocol among e-commerce security protocols is used to ensure the confidentiality of data?
1 SSL/TLS
2 HTTP
3 FTP
4 SMTP",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a security element for electronic payment methods among e-commerce security technologies?
1 Encryption
2 Authentication
3 Integrity
4 Data compression",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate item to check when configuring a web server for application security?
1 Whether spam mail relay is allowed
2 Whether DNS security measures are configured
3 Whether security settings are in place to defend against various types of attacks
4 Whether access control is set for each database object",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate method for defending against XSS (Cross-Site Scripting) attacks among application security vulnerability countermeasures?

1 Database encryption  
2 Input validation and output encoding  
3 Strengthening network firewall settings  
4 Enhancing user authentication",
금융보안IT,금융IT보안 심화,"In software development security, what is the most important factor to consider first when defining security requirements?
1 Performance optimization
2 User convenience
3 Threat modeling
4 Code reusability",
금융보안IT,금융IT보안 심화,"Which of the following is NOT an appropriate method recommended in source code development security (Secure Coding)?

1 Thoroughly validate input values.
2 Include system information in error messages.
3 Encrypt and store sensitive data.
4 Regularly check for security updates in external libraries.",
금융보안IT,금융IT보안 심화,"What is the main purpose of static analysis tools used in application development security?
1 To detect errors that occur at runtime.
2 To identify security vulnerabilities in the code in advance.
3 To improve the design of the user interface.
4 To monitor network traffic.",
금융보안IT,금융IT보안 심화,"Which of the following best describes user authentication methods?
1 Authentication using user ID and password is the safest method.
2 Biometric authentication uses the user’s unique physiological characteristics.
3 Authentication tokens perform authentication based on the user’s location information.
4 Smart card authentication enhances security by encrypting network traffic.",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate principle for device authentication technology?
1 Authentication based on the device's unique identifier
2 Authentication through user password
3 Authentication through network traffic analysis
4 Authentication through checking the operating system version",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate description of a security element technology?
1 Authentication is the process of verifying a user's identity.
2 Encryption is a technology that ensures the integrity of data.
3 Access control is a technology that ensures the confidentiality of data.
4 Log analysis is a technology that ensures the availability of data.",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a type of access control policy?
1 Discretionary Access Control (DAC)
2 Mandatory Access Control (MAC)
3 Role-Based Access Control (RBAC)
4 Network Access Control (NAC)",
금융보안IT,금융IT보안 심화,"Which of the following is NOT correct regarding the operation of symmetric key-based distribution methods in key distribution protocols?

1 Symmetric keys provide fast encryption speeds.  
2 Symmetric keys have difficulties in key distribution.  
3 Symmetric keys use two keys for encryption.  
4 Symmetric keys use the same key for both encryption and decryption.",
금융보안IT,금융IT보안 심화,"Which of the following best describes the principle of public key-based distribution methods?
1 Data is encrypted using a symmetric key.
2 Data is encrypted using a public key and decrypted with a private key.
3 Data is encrypted using a private key and decrypted with a public key.
4 Both symmetric and asymmetric keys are used together.",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a correct function of a key distribution protocol?
1 Secure transmission of keys
2 Ensuring the integrity of keys
3 Maintaining the confidentiality of keys
4 Automatic generation of keys",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a correct characteristic of a certificate structure?
1 A certificate contains a public key.
2 A certificate guarantees the identity of the signer.
3 A certificate contains a private key.
4 A certificate includes a validity period.",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate security requirement for digital signatures?
1 Confidentiality
2 Integrity
3 Availability
4 Anonymity",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a correct characteristic of a digital signature?
1 It can verify the identity of the signer.
2 It ensures the integrity of the signed document.
3 It encrypts the contents of the signed document.
4 It can prevent the signer from denying their signature.",
금융보안IT,금융IT보안 심화,"Which of the following correctly describes the hierarchical structure among PKI configurations?

1 In a hierarchical structure, the issuance and verification of certificates are carried out centrally.
2 In a hierarchical structure, the issuance of certificates is carried out in a distributed manner.
3 In a hierarchical structure, certificate verification is not possible.
4 In a hierarchical structure, CRLs are not used.",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate characteristic of a symmetric key cryptosystem?
1 Encryption is performed using a public key.
2 Encryption and decryption are performed with the same key.
3 Key distribution is not necessary.
4 The encryption speed is slow.",
금융보안IT,금융IT보안 심화,"Which of the following is a main characteristic of the RSA algorithm?
1 It is a symmetric key encryption method.
2 It is based on the difficulty of prime factorization.
3 It uses hash functions.
4 It has a fast encryption speed.",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a type of encryption algorithm?
1 RSA
2 AES
3 SHA-256
4 DES",
금융보안IT,금융IT보안 심화,"Which of the following is a public key cryptosystem based on factorization?
1 RSA
2 ECC
3 AES
4 DES",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate characteristic of a public key cryptosystem based on the discrete logarithm problem?
1 It is a symmetric key encryption method.
2 It is based on the integer factorization problem.
3 It is used for key exchange.
4 It is used as a hash function.",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a main characteristic of cryptographic hash functions?

1 A hash function produces a fixed-length output regardless of the length of the input data.
2 A hash function must be irreversible (one-way).
3 A hash function generates a hash value using only part of the input data.
4 A hash function should be designed to prevent collisions.",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate main function of a Message Authentication Code (MAC)?
1 Ensures the confidentiality of data.
2 Provides data integrity and authentication.
3 Ensures the availability of data.
4 Performs data compression.",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a main step in risk assessment in information security management?
1 Risk analysis and assessment  
2 Identification and analysis of information assets  
3 Encryption and decryption of information  
4 Risk analysis and planning",
금융보안IT,금융IT보안 심화,"Which of the following is the correct explanation regarding the understanding of information security product certification?

1 It is a standard for determining the price of information security products.
2 It is a system for evaluating the safety of information security products.
3 It is a standard for evaluating the design of information security products.
4 It is a system for evaluating the user convenience of information security products.",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate explanation regarding ""ethics and laws related to information security""?

1 Information security includes only technical protection measures.
2 Information security ethics are not related to cyber ethics.
3 The Personal Information Protection Act is legislation related to the protection of personal information.
4 Laws related to information security are not related to the promotion of the use of information and communications networks.",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate explanation of ""Understanding the Personal Information Protection Act""?

1 The Personal Information Protection Act freely permits the collection and use of personal information.
2 The Personal Information Protection Act requires technical and administrative safeguards for the secure handling of personal information.
3 The Personal Information Protection Act, in principle, allows the provision of personal information to third parties.
4 The Personal Information Protection Act does not mandate the destruction of personal information.",
금융보안IT,금융IT보안 심화,"Which of the following is NOT an application security vulnerability?
1 SQL Injection  
2 XSS (Cross-Site Scripting)  
3 CSRF (Cross-Site Request Forgery)  
4 SSL/TLS configuration error",
금융보안IT,금융IT보안 심화,"Which of the following best describes a Message Authentication Code (MAC)?
1 It is used to verify the integrity of a message.
2 It is used to encrypt a message.
3 It is used to compress a message.
4 It is used to increase the transmission speed of a message.",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate characteristic of the Role-Based Access Control (RBAC) model?

1 Access rights are granted based on the user's identity.
2 Access rights are granted based on the security level of the object.
3 Access rights are granted based on the user's role.
4 Access rights can be set arbitrarily.",
금융보안IT,금융IT보안 심화,"Which of the following is the correct main role of the Key Distribution Center (KDC) in symmetric key distribution schemes?
1 User authentication and key generation
2 Issuing public key certificates
3 Message encryption and decryption
4 Creating digital signatures",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a characteristic of symmetric key distribution methods?
1 Requires a Key Distribution Center (KDC).
2 Key management is complex.
3 Communication speed is slow.
4 The same key is used for both encryption and decryption.",
금융보안IT,금융IT보안 심화,"Which of the following statements about digital signatures is correct?
1 Digital signatures do not guarantee the integrity of a message.
2 Digital signatures cannot verify the identity of the sender.
3 Digital signatures can prevent forgery of electronic documents.
4 Digital signatures use symmetric key encryption methods.",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a security requirement for digital signatures?
1 Authentication
2 Non-repudiation
3 Integrity
4 Availability",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a component of PKI (Public Key Infrastructure)?
1 Certification Authority (CA)
2 Registration Authority (RA)
3 Symmetric Key Management System
4 Certificate Revocation List (CRL)",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate task to perform for operating an information security policy?
1 Identifying and configuring security features for each operating system
2 Changing the physical location of network equipment
3 Improving user interface design
4 Optimizing database performance",
금융보안IT,금융IT보안 심화,"Which of the following is a symmetric key encryption algorithm?
1 RSA
2 DES
3 ECC
4 DSA",
금융보안IT,금융IT보안 심화,"What is the property of a hash function, considered one of its main requirements, where a small change in the input data causes a large change in the output value called?
1 Collision resistance  
2 Pre-image resistance  
3 Second pre-image resistance  
4 Avalanche effect",
금융보안IT,금융IT보안 심화,"Which of the following is the least appropriate requirement for a hash function?
1 Collision resistance
2 Preimage resistance
3 Second preimage resistance
4 Low computational complexity",
금융보안IT,금융IT보안 심화,"Which of the following statements about the Information Security Management System Certification (ISMS-P) is NOT correct?
1 The Information Security Management System Certification is a unified certification system that integrates information security and personal information protection.
2 ISMS-P certification includes the establishment, operation, maintenance, and improvement of the information security management system.
3 ISMS-P certification is not legally mandatory and can be applied for voluntarily.
4 ISMS-P certification evaluates whether information security measures have been implemented.",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a key activity to be performed during the risk analysis and planning stage?

1 Identification and analysis of information assets  
2 Risk assessment and risk level calculation  
3 Prioritization of information security measures  
4 Purchase of information security products",
금융보안IT,금융IT보안 심화,"Which of the following does NOT pertain to the identification and analysis of information assets?
1 Creating a list of information assets
2 Evaluating the value of information assets
3 Selecting information security measures
4 Analyzing the importance of information assets",
금융보안IT,금융IT보안 심화,"What is the first step that must be performed in the risk analysis and assessment process?
1 Risk analysis and planning
2 Identification and analysis of information assets
3 Risk assessment
4 Selection of information protection measures and preparation of a plan",
금융보안IT,금융IT보안 심화,"Which of the following is NOT included in the implementation and operation of administrative safeguards?
1 Internal audit  
2 Prevention and response to security incidents  
3 Security in system and software development  
4 Business continuity management",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a main purpose of the Information Security Management System (ISMS) certification?
1 Continuous improvement of the information security management system
2 Strengthening response capabilities in the event of an information security incident
3 Compliance with information security-related laws and regulations
4 Performance evaluation of information security products",
금융보안IT,금융IT보안 심화,"Which of the following is the first step that should be taken when establishing an information security management system in a financial institution?
1 Risk assessment
2 Establishment of information security policies
3 Security education and training
4 Security audit",
금융보안IT,금융IT보안 심화,"Which of the following statements about Information Security Product Certification (CC) is NOT correct?

1 Information Security Product Certification evaluates the security functions and security assurance requirements of a product.
2 Information Security Product Certification is evaluated according to international standards.
3 Information Security Product Certification is mandatory for all information security products.
4 Information Security Product Certification is a system that objectively proves the security of a product.",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate statement regarding security settings for system servers?
1 The DB server does not need to have important information encrypted.
2 The DNS server should allow the execution of unnecessary commands.
3 The e-mail server should allow spam mail relaying.
4 The WEB/WAS server should have appropriate security settings to defend against various types of attacks.",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a system security threat?
1 Insider threat  
2 Security settings  
3 Eavesdropping  
4 Information leakage",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate item to check when inspecting the security settings of a server operating system in system security?
1 The physical location of the server
2 Whether the operating system version information is exposed
3 The type of network cable
4 User interface design",
금융보안IT,금융IT보안 심화,"Which of the following best explains the importance of system environment information, authentication information, and system/audit logs in system security?

1 System environment information is used to identify the physical location of the system.
2 Authentication information is used to control user access and grant permissions.
3 System logs are mainly used to monitor system performance.
4 Audit logs are used to analyze the system’s network traffic.",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a correct description of system security threats and attack techniques?

1 An APT attack is a targeted attack that is carried out continuously over a long period of time.
2 SQL Injection is an attack that inserts malicious SQL code into a database.
3 Buffer Overflow is an attack that writes data beyond the boundaries of a memory buffer.
4 A vulnerability scanner is a tool for optimizing system performance.",
금융보안IT,금융IT보안 심화,"Which of the following is NOT an example of an administrative security threat among system security threats?
1 Security settings
2 Permission settings
3 Insider threats
4 SQL Injection",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate description of a system security threat?
1 Security settings are considered a technical security threat.
2 Permission settings are considered a technical security threat.
3 Insider threats are considered an administrative security threat.
4 Eavesdropping is considered an administrative security threat.",
금융보안IT,금융IT보안 심화,"Which of the following best describes an SQL Injection attack?
1 A technique that exploits known vulnerabilities in a system
2 An attack that persistently targets a specific subject over a long period of time
3 An attack that inserts SQL commands by analyzing the structure of a database
4 An attack that occurs by inputting data exceeding the buffer size in memory",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate method for preventing and responding to system security threats and attacks?
1 Regularly applying security patches  
2 Not changing passwords periodically  
3 Granting administrator privileges to all users  
4 Keeping security settings at their default values",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate description of cloud security management?
1 You only need to care about the security settings of the cloud service provider.
2 Data encryption is optional.
3 Strong authentication mechanisms should be used even in cloud environments.
4 Cloud security should focus only on physical security.",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate key information that can be obtained through log analysis among system security response techniques?
1 The physical location of the system  
2 User authentication information  
3 A list of system vulnerabilities  
4 Records of unauthorized access attempts",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a tool provided by Kali Linux?
1 Metasploit  
2 Wireshark  
3 Nessus  
4 Microsoft Defender",
금융보안IT,금융IT보안 심화,"What is the most appropriate way to prevent and respond to system security threats and attacks?
1 Ignore security settings and keep the default settings.
2 Strengthen access control by enhancing authentication.
3 Ignore security patches and operate the system as is.
4 Skip log analysis and ignore system events.",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate main function of the Transport Layer in the OSI 7-layer model?
1 Data link control  
2 Path selection and routing  
3 Reliable data transmission  
4 Establishment of physical connection",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate difference between TCP and UDP?
1 TCP is a connection-oriented protocol, while UDP is a connectionless protocol.
2 TCP operates at the data link layer, while UDP operates at the network layer.
3 TCP uses packet switching, while UDP uses circuit switching.
4 TCP provides unreliable transmission, while UDP provides reliable transmission.",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate main feature of SDN (Software-Defined Networking)?
1 The physical configuration of network devices must be changed.
2 Centralized control is possible.
3 Network traffic must be managed manually.
4 It is not compatible with traditional network devices.",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate characteristic of an IPv6 address?
1 Uses a 32-bit address scheme.
2 Has an address space of 2^32.
3 The address consists of eight hexadecimal blocks separated by colons (:).
4 Uses broadcast addresses.",
금융보안IT,금융IT보안 심화,"Which of the following statements about subnetting is NOT correct?
1 Subnetting is the process of dividing a network into smaller subnetworks.
2 A subnet mask is used to distinguish between the network and host portions.
3 Subnetting can improve the efficiency of a network.
4 Subnetting is not used in IPv6.",
금융보안IT,금융IT보안 심화,"Which of the following statements about the operating principles and characteristics of different types of network addresses is NOT correct?

1 A public address is an address that is uniquely identifiable on the Internet.
2 A private address is used only within an internal network and is not used on the Internet.
3 A static address is automatically assigned through a DHCP server.
4 A dynamic address can change each time a device connects to the network.",
금융보안IT,금융IT보안 심화,"Which of the following best describes NAT (Network Address Translation)?

1 NAT connects to the Internet by translating public addresses to private addresses.
2 NAT is not used to enhance network security.
3 NAT allows multiple internal devices to share the same public address.
4 NAT degrades network performance.",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a characteristic of wireless network services?
1 Wireless networks offer excellent mobility.
2 Wireless networks have low installation costs.
3 Wireless networks have fewer security threats.
4 Wireless networks may be slower compared to wired networks.",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate item to check when inspecting the configuration of network security equipment?
1 Security settings for administrator accounts on network devices
2 Patch management settings for the operating system
3 Permission settings for the file server
4 Remote access feature settings",
금융보안IT,금융IT보안 심화,"Which of the following is the least appropriate response to a Denial of Service (DoS) attack?

1 Block specific IP addresses through a network firewall.
2 Manage server resources efficiently to prevent overload.
3 Analyze network traffic and filter abnormal traffic.
4 Allow all network traffic and permit unrestricted access.",
금융보안IT,금융IT보안 심화,"Which of the following best describes how port and vulnerability scanning works?
1 Port scanning is a method of randomly scanning all ports on a network to find open ports.
2 Vulnerability scanning is a method of scanning all files on a system to detect malicious code.
3 Port scanning is a method of attempting to connect to specific ports to check if they are open.
4 Vulnerability scanning is a method of analyzing network traffic to detect abnormal patterns.",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a correct characteristic of port scanning?

1 Port scanning is a method to check whether specific ports on a network are open.
2 Port scanning is a method to detect software vulnerabilities in a system.
3 Port scanning is one of the techniques used in network security assessments.
4 Port scanning is a method attackers use to find vulnerabilities in a system.",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a correct description of a spoofing attack?

1 A spoofing attack is carried out by forging an IP address.
2 Spoofing attacks are used to intercept network traffic.
3 Spoofing attacks are mainly used to protect the integrity of data.
4 Spoofing attacks exploit trust relationships on a network.",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate countermeasure against spoofing attacks?
1 Encrypting network traffic
2 Using port scanning tools
3 Strengthening firewall settings
4 Packet filtering",
금융보안IT,금융IT보안 심화,"Which of the following best describes the operating principle of a spoofing attack?
1 The attacker intercepts data by encrypting network traffic.
2 The attacker impersonates a trusted device by using a false IP address.
3 The attacker blocks access by changing the settings of network equipment.
4 The attacker analyzes network traffic to find vulnerabilities.",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate countermeasure against a sniffing attack?
1 Encrypt network traffic.
2 Block all network traffic.
3 Turn off the power to network equipment.
4 Save all network traffic as logs.",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate response to a remote access attack?
1 Allow external access by opening all system ports.
2 Address system vulnerabilities through regular security patches and updates.
3 Use the default administrator account for remote access.
4 Use unencrypted protocols for remote access.",
금융보안IT,금융IT보안 일반,"Which of the following is not a primary function of an operating system?
1 Providing a user interface
2 Efficient management of hardware resources
3 Providing database management system (DBMS) functions
4 Executing programs and detecting errors",
금융보안IT,금융IT보안 일반,"Which of the following is NOT an appropriate method to enhance the security of a Linux server in operating system security settings?
1 Always keep software up to date.
2 Set a complex password for the 'root' account.
3 Delete all system logs to enhance security.
4 Disable unnecessary services.",
금융보안IT,금융IT보안 일반,"Which of the following best describes access control and encryption?
1 Access control enhances security by encrypting data during transmission.
2 Encryption is a technology that blocks unauthorized access to resources.
3 Access control monitors unauthorized access to resources and determines whether to grant approval.
4 Encryption is a technology that records and analyzes users’ access requests.",
금융보안IT,금융IT보안 일반,"What is the main purpose of using an SSL certificate in server security?
1 To improve data transmission speed
2 To strengthen the server's physical security
3 To ensure the confidentiality and integrity of data
4 To enhance the server's hardware performance",
금융보안IT,금융IT보안 일반,"Which of the following is a correct protective measure that can be applied during the system configuration stage in Linux (Unix) server security?
1 Set quotas on users' file systems through disk partitioning.
2 Install all software to increase update frequency.
3 Do not set a password for the boot loader.
4 Keep all system services running.",
금융보안IT,금융IT보안 일반,"What is the appropriate role of a web server that has applied an SSL (Secure Sockets Layer) certificate in server security?
1 It enhances security by encrypting communication between the web server and the client.
2 It exposes all files on the web server to the public.
3 It always reveals the directory listing of the web server.
4 It blocks all traffic to the web server.",
금융보안IT,금융IT보안 일반,"Which of the following is NOT a main function of a server access control system?
1 Controlling system access permissions by user
2 Real-time monitoring
3 Optimizing data transmission speed
4 Command control",
금융보안IT,금융IT보안 일반,"Which of the following is NOT a network device?
1 Router
2 Firewall
3 Switch
4 Database server",
금융보안IT,금융IT보안 일반,"Which of the following is the least appropriate description of a 'network attack'?

1 A DDoS attack can paralyze a system.
2 Hacking can be used to access financial information.
3 Network attacks always require physical access.
4 Malware can be used to infiltrate a PC.",
