Domain,Sub_domain,Question
금융보안IT,금융IT보안 심화,"취약점 스캐닝의 특징으로 옳지 않은 것은?
1 시스템의 보안 취약점을 식별한다.
2 네트워크 트래픽을 분석하여 암호화한다.
3 자동화된 도구를 사용하여 취약점을 탐지한다.
4 보안 패치가 필요한 부분을 제안한다."
금융보안IT,금융IT보안 심화,"세션 하이재킹(Session Hijacking) 공격의 주요 목표는 무엇인가?
1 네트워크 트래픽을 암호화하여 보호한다.
2 사용자의 세션을 가로채어 권한을 탈취한다.
3 네트워크 트래픽을 차단하여 서비스 거부를 유발한다.
4 네트워크 트래픽을 변조하여 데이터 무결성을 손상시킨다."
금융보안IT,금융IT보안 심화,"스니핑 공격을 방지하기 위한 기술로 가장 적절한 것은?
1 방화벽 설정
2 IDS/IPS 설정
3 VPN 사용
4 NAT 설정"
금융보안IT,금융IT보안 심화,"원격접속 공격의 동작원리 중 트로이 목마(Trojan)의 특징으로 가장 적절한 것은?
1 사용자 몰래 시스템에 설치되어 백도어를 생성한다.
2 네트워크 트래픽을 암호화하여 전송한다.
3 시스템의 모든 파일을 자동으로 삭제한다.
4 사용자에게 경고 메시지를 지속적으로 표시한다."
금융보안IT,금융IT보안 심화,"원격접속 공격에 대한 대응 방법으로 가장 적절한 것은?
1 방화벽 설정을 통해 모든 포트를 차단한다.
2 원격접속 시 다중 인증을 적용한다.
3 모든 네트워크 트래픽을 암호화하지 않고 전송한다.
4 원격접속을 허용하는 IP 주소를 무제한으로 설정한다."
금융보안IT,금융IT보안 심화,"보안 프로토콜 중 SSL/TLS의 주요 특징으로 가장 적절한 것은?
1 데이터 압축 기능 제공
2 데이터 무결성 및 기밀성 보장
3 네트워크 트래픽 모니터링
4 사용자 접근 제어 강화"
금융보안IT,금융IT보안 심화,"다음 중 네트워크 보안 기술의 응용에 대한 설명으로 가장 적절한 것은?
1 방화벽은 네트워크 내부의 모든 트래픽을 암호화한다.
2 IDS는 네트워크 트래픽을 실시간으로 분석하여 공격을 차단한다.
3 IPS는 네트워크 트래픽을 모니터링하고 공격을 탐지하여 경고를 제공한다.
4 VPN은 원격 사용자가 안전하게 네트워크에 접속할 수 있도록 한다."
금융보안IT,금융IT보안 심화,"로그 분석을 통해 네트워크 보안 위협을 식별할 때 가장 중요한 요소는 무엇인가?
1 로그 파일의 크기
2 로그 파일의 저장 위치
3 로그 파일의 생성 주기
4 로그 파일의 내용 분석"
금융보안IT,금융IT보안 심화,"패킷의 헤더 정보를 통해 알 수 없는 것은?
1 송신자 IP 주소
2 수신자 IP 주소
3 데이터의 내용
4 프로토콜 종류"
금융보안IT,금융IT보안 심화,"다음 중 네트워크 보안에서 NAT(Network Address Translation)의 주요 목적은 무엇인가?
1 네트워크 트래픽의 암호화
2 IP 주소의 사설화 및 보호
3 데이터 패킷의 무결성 검증
4 사용자 인증 절차 강화"
금융보안IT,금융IT보안 심화,"FTP 보안에서 사용되는 기술로 적절하지 않은 것은?
1 SSL/TLS
2 SFTP
3 FTPS
4 HTTP"
금융보안IT,금융IT보안 심화,"FTP 서비스의 개념에 대한 설명으로 옳은 것은?
1 파일 전송을 위한 프로토콜로, 기본적으로 암호화되어 있다.
2 웹 페이지를 전송하는 프로토콜로, 주로 HTML 파일을 전송한다.
3 파일 전송을 위한 프로토콜로, 기본적으로 암호화되지 않은 상태로 전송된다.
4 이메일 전송을 위한 프로토콜로, SMTP와 함께 사용된다."
금융보안IT,금융IT보안 심화,"인터넷 응용 보안에서 메일 서버의 보안을 강화하기 위한 방법으로 적절하지 않은 것은?
1 스팸메일 릴레이 허용
2 SMTP 보안 설정 강화
3 메일 송수신 프로토콜 암호화
4 메일 서버 접근 통제"
금융보안IT,금융IT보안 심화,"인터넷 응용 보안에서 가장 중요한 보안 조치로 적절한 것은?
1 사용자 경험 개선
2 방화벽 설정
3 그래픽 성능 향상
4 데이터 압축"
금융보안IT,금융IT보안 심화,"다음 중 Web/App 공격 유형에 해당하지 않는 것은 무엇인가?
1 SQL Injection
2 Cross-Site Scripting (XSS)
3 Buffer Overflow
4 데이터 백업"
금융보안IT,금융IT보안 심화,"DNS 보안에서 DNSSEC의 주요 기능은 무엇인가?
1 데이터 암호화
2 데이터 무결성 검증
3 데이터 압축
4 데이터 복구"
금융보안IT,금융IT보안 심화,"인터넷 응용 보안에서 웹 애플리케이션의 보안 취약점 중 하나로, 사용자 입력을 통해 악성 스크립트를 실행하는 공격은 무엇인가?
1 SQL 인젝션
2 크로스 사이트 스크립팅(XSS)
3 버퍼 오버플로우
4 세션 하이재킹"
금융보안IT,금융IT보안 심화,"DNS 공격 유형 중 하나로, 공격자가 DNS 서버의 캐시를 조작하여 잘못된 정보를 제공하게 하는 공격은 무엇인가?
1 DNS 스푸핑
2 DNS 증폭 공격
3 DNS 리플렉션
4 DNS 캐시 포이즈닝"
금융보안IT,금융IT보안 심화,"DB 보안에서 중요한 정보가 암호화되어 저장되지 않았을 때 발생할 수 있는 문제는?
1 데이터 무결성 손상
2 데이터 유출
3 데이터 중복
4 데이터 압축"
금융보안IT,금융IT보안 심화,"다음 중 데이터베이스(DB) 보안에서 중요한 정보가 암호화되어 저장되는 이유로 가장 적절한 것은?
1 데이터베이스의 성능 향상을 위해
2 데이터베이스의 저장 공간 절약을 위해
3 데이터베이스의 무결성을 보장하기 위해
4 데이터베이스의 기밀성을 유지하기 위해"
금융보안IT,금융IT보안 심화,"다음 중 웹 애플리케이션 보안에서 SQL 인젝션 공격을 방어하기 위한 가장 적절한 방법은?
1 데이터베이스의 백업 주기를 늘린다.
2 사용자 입력을 검증하고 필터링한다.
3 웹 서버의 로그를 주기적으로 삭제한다.
4 네트워크 트래픽을 암호화한다."
금융보안IT,금융IT보안 심화,"전자상거래 보안 프로토콜 중에서 데이터의 기밀성을 보장하기 위해 사용되는 프로토콜은 무엇인가?
1 SSL/TLS
2 HTTP
3 FTP
4 SMTP"
금융보안IT,금융IT보안 심화,"전자상거래 보안 기술 중 전자지불 수단별 보안요소에 해당하지 않는 것은?
1 암호화
2 인증
3 무결성
4 데이터 압축"
금융보안IT,금융IT보안 심화,"어플리케이션 보안에서 웹 서버 설정 시 점검해야 할 사항으로 가장 적절한 것은?
1 스팸메일 릴레이 허용 여부
2 DNS 보안 조치 설정 여부
3 다양한 공격 유형에 대비한 보안 설정 여부
4 DB 객체별 접근통제 설정 여부"
금융보안IT,금융IT보안 심화,"어플리케이션 보안 취약점 대응 기술 중 XSS(Cross-Site Scripting) 공격을 방어하기 위한 방법으로 가장 적절한 것은?
1 데이터베이스 암호화
2 입력값 검증 및 출력값 인코딩
3 네트워크 방화벽 설정 강화
4 사용자 인증 강화"
금융보안IT,금융IT보안 심화,"소프트웨어 개발 보안에서 보안 요구사항을 정의할 때 가장 먼저 고려해야 할 요소는 무엇인가?
1 성능 최적화
2 사용자 편의성
3 위협 모델링
4 코드 재사용성"
금융보안IT,금융IT보안 심화,"소스코드 개발 보안(Secure Coding)에서 권장되는 방법으로 적절하지 않은 것은?
1 입력값의 유효성을 철저히 검증한다.
2 에러 메시지에 시스템 정보를 포함시킨다.
3 민감한 데이터는 암호화하여 저장한다.
4 외부 라이브러리의 보안 업데이트를 주기적으로 확인한다."
금융보안IT,금융IT보안 심화,"어플리케이션 개발 보안에서 사용되는 정적 분석 도구의 주요 목적은 무엇인가?
1 런타임 시 발생하는 오류를 탐지한다.
2 코드의 보안 취약점을 사전에 식별한다.
3 사용자 인터페이스의 디자인을 개선한다.
4 네트워크 트래픽을 모니터링한다."
금융보안IT,금융IT보안 심화,"다음 중 사용자 인증 방식에 대한 설명으로 가장 적절한 것은?
1 사용자 ID와 비밀번호를 이용한 인증은 가장 안전한 방식이다.
2 생체 인식 기술은 사용자의 고유한 생리적 특징을 이용하여 인증한다.
3 인증 토큰은 사용자의 위치 정보를 기반으로 인증을 수행한다.
4 스마트 카드 인증은 네트워크 트래픽을 암호화하여 보안을 강화한다."
금융보안IT,금융IT보안 심화,"디바이스에 대한 인증 기술의 원리로 가장 적절한 것은 무엇인가?
1 디바이스의 고유 식별자를 기반으로 한 인증
2 사용자 비밀번호를 통한 인증
3 네트워크 트래픽 분석을 통한 인증
4 운영체제의 버전 확인을 통한 인증"
금융보안IT,금융IT보안 심화,"다음 중 보안요소 기술에 대한 설명으로 가장 적절한 것은?
1 인증은 사용자의 신원을 확인하는 과정이다.
2 암호화는 데이터의 무결성을 보장하는 기술이다.
3 접근통제는 데이터의 기밀성을 보장하는 기술이다.
4 로그 분석은 데이터의 가용성을 보장하는 기술이다."
금융보안IT,금융IT보안 심화,"다음 중 접근통제 정책의 종류에 해당하지 않는 것은?
1 임의적 접근통제(DAC)
2 강제적 접근통제(MAC)
3 역할 기반 접근통제(RBAC)
4 네트워크 기반 접근통제(NAC)"
금융보안IT,금융IT보안 심화,"키 분배 프로토콜에서 대칭 키 기반 분배 방식의 운영에 대한 설명으로 옳지 않은 것은?
1 대칭 키는 빠른 암호화 속도를 제공한다.
2 대칭 키는 키 분배의 어려움이 있다.
3 대칭 키는 두 개의 키를 사용하여 암호화한다.
4 대칭 키는 동일한 키로 암호화 및 복호화한다."
금융보안IT,금융IT보안 심화,"공개 키 기반 분배 방식의 원리에 대한 설명으로 가장 적절한 것은?
1 대칭 키를 사용하여 데이터를 암호화한다.
2 공개 키를 사용하여 데이터를 암호화하고 비공개 키로 복호화한다.
3 비공개 키를 사용하여 데이터를 암호화하고 공개 키로 복호화한다.
4 대칭 키와 비대칭 키를 혼합하여 사용한다."
금융보안IT,금융IT보안 심화,"다음 중 키 분배 프로토콜의 기능으로 올바르지 않은 것은?
1 키의 안전한 전송
2 키의 무결성 보장
3 키의 비밀성 유지
4 키의 자동 생성"
금융보안IT,금융IT보안 심화,"인증서 구조의 주요 특징으로 옳지 않은 것은?
1 인증서는 공개 키를 포함한다.
2 인증서는 서명자의 신원을 보장한다.
3 인증서는 비밀 키를 포함한다.
4 인증서는 유효 기간을 포함한다."
금융보안IT,금융IT보안 심화,"디지털 서명의 보안 요구 조건으로 가장 적절한 것은?
1 비밀성
2 무결성
3 가용성
4 익명성"
금융보안IT,금융IT보안 심화,"다음 중 디지털 서명의 특징으로 올바르지 않은 것은?
1 서명자의 신원을 확인할 수 있다.
2 서명된 문서의 무결성을 보장한다.
3 서명된 문서의 내용을 암호화한다.
4 서명자의 부인을 방지할 수 있다."
금융보안IT,금융IT보안 심화,"PKI의 구성 방식 중 계층구조에 대한 설명으로 옳은 것은?
1 계층구조는 인증서의 발급과 검증이 중앙 집중적으로 이루어진다.
2 계층구조는 인증서의 발급이 분산되어 이루어진다.
3 계층구조는 인증서의 검증이 불가능하다.
4 계층구조는 CRL을 사용하지 않는다."
금융보안IT,금융IT보안 심화,"다음 중 대칭키 암호시스템의 특징으로 가장 적절한 것은?
1 공개키를 사용하여 암호화한다.
2 동일한 키로 암호화와 복호화를 수행한다.
3 키 분배가 필요하지 않다.
4 암호화 속도가 느리다."
금융보안IT,금융IT보안 심화,"다음 중 RSA 알고리즘의 주요 특징으로 옳은 것은?
1 대칭키 암호화 방식이다.
2 소인수분해의 어려움을 기반으로 한다.
3 해시 함수를 사용한다.
4 빠른 암호화 속도를 가진다."
금융보안IT,금융IT보안 심화,"다음 중 암호 알고리즘의 종류에 해당하지 않는 것은?
1 RSA
2 AES
3 SHA-256
4 DES"
금융보안IT,금융IT보안 심화,"다음 중 인수분해 기반 공개키 암호방식에 해당하는 것은?
1 RSA
2 ECC
3 AES
4 DES"
금융보안IT,금융IT보안 심화,"다음 중 이산로그 기반 공개키 암호방식의 특징으로 가장 적절한 것은?
1 대칭키 암호화 방식이다.
2 소인수분해 문제에 기반한다.
3 키 교환에 사용된다.
4 해시 함수로 사용된다."
금융보안IT,금융IT보안 심화,"다음 중 암호학에서 해시함수의 주요 특징으로 옳지 않은 것은?
1 해시함수는 입력 데이터의 길이에 관계없이 고정된 길이의 출력을 생성한다.
2 해시함수는 역산이 불가능해야 한다.
3 해시함수는 입력 데이터의 일부만을 사용하여 해시값을 생성한다.
4 해시함수는 충돌이 발생하지 않도록 설계되어야 한다."
금융보안IT,금융IT보안 심화,"메시지 인증 코드(MAC)의 주요 기능으로 가장 적절한 것은?
1 데이터의 기밀성을 보장한다.
2 데이터의 무결성과 인증을 제공한다.
3 데이터의 가용성을 보장한다.
4 데이터의 압축을 수행한다."
금융보안IT,금융IT보안 심화,"정보보호 관리에서 위험평가의 주요 단계가 아닌 것은?
1 위험 분석 및 평가
2 정보자산 식별 및 분석
3 정보의 암호화 및 복호화
4 위험 분석 및 계획 수립"
금융보안IT,금융IT보안 심화,"정보보호 제품인증의 이해에 대한 설명으로 옳은 것은?
1 정보보호 제품의 가격을 결정하는 기준이다.
2 정보보호 제품의 안전성을 평가하는 제도이다.
3 정보보호 제품의 디자인을 평가하는 기준이다.
4 정보보호 제품의 사용 편의성을 평가하는 제도이다."
금융보안IT,금융IT보안 심화,"다음 중 ""정보보호 관련 윤리 및 법규""에 대한 설명으로 가장 적절한 것은?
1 정보보호는 기술적 보호대책만을 포함한다.
2 정보보호 윤리는 사이버 윤리와 관련이 없다.
3 개인정보보호법은 개인정보보호와 관련된 법제이다.
4 정보보호 관련 법제는 정보통신망 이용촉진과 관련이 없다."
금융보안IT,금융IT보안 심화,"다음 중 ""개인정보보호법의 이해""에 대한 설명으로 가장 적절한 것은?
1 개인정보보호법은 개인정보의 수집과 이용을 자유롭게 허용한다.
2 개인정보보호법은 개인정보의 안전한 처리를 위한 기술적, 관리적 보호조치를 요구한다.
3 개인정보보호법은 개인정보의 제3자 제공을 원칙적으로 허용한다.
4 개인정보보호법은 개인정보의 파기를 의무화하지 않는다."
금융보안IT,금융IT보안 심화,"다음 중 어플리케이션 보안 취약점에 해당하지 않는 것은?
1 SQL Injection
2 XSS (Cross-Site Scripting)
3 CSRF (Cross-Site Request Forgery)
4 SSL/TLS 설정 오류"
금융보안IT,금융IT보안 심화,"다음 중 메시지 인증 코드(MAC)에 대한 설명으로 가장 적절한 것은?
1 메시지의 무결성을 확인하기 위해 사용된다.
2 메시지의 암호화를 위해 사용된다.
3 메시지의 압축을 위해 사용된다.
4 메시지의 전송 속도를 높이기 위해 사용된다."
금융보안IT,금융IT보안 심화,"다음 중 접근통제 모델 중 역할 기반 접근통제(RBAC)의 특징으로 가장 적절한 것은?
1 사용자의 신분에 따라 접근 권한을 부여한다.
2 객체의 보안 레벨에 따라 접근 권한을 부여한다.
3 사용자의 역할에 따라 접근 권한을 부여한다.
4 접근 권한을 임의로 설정할 수 있다."
금융보안IT,금융IT보안 심화,"대칭 키 기반 분배 방식에서 키 분배 센터(KDC)의 주요 역할로 옳은 것은?
1 사용자 인증 및 키 생성
2 공개 키 인증서 발급
3 메시지 암호화 및 복호화
4 디지털 서명 생성"
금융보안IT,금융IT보안 심화,"다음 중 대칭 키 기반 분배 방식의 특징으로 옳지 않은 것은?
1 키 분배 센터(KDC)를 필요로 한다.
2 키 관리가 복잡하다.
3 통신 속도가 느리다.
4 동일한 키를 사용하여 암호화 및 복호화한다."
금융보안IT,금융IT보안 심화,"디지털 서명에 대한 설명으로 옳은 것은?
1 디지털 서명은 메시지의 무결성을 보장하지 않는다.
2 디지털 서명은 송신자의 신원을 확인할 수 없다.
3 디지털 서명은 전자 문서의 위조를 방지할 수 있다.
4 디지털 서명은 대칭키 암호화 방식을 사용한다."
금융보안IT,금융IT보안 심화,"다음 중 디지털 서명의 보안 요구 조건에 해당하지 않는 것은 무엇인가?
1 인증
2 부인 방지
3 무결성
4 가용성"
금융보안IT,금융IT보안 심화,"다음 중 PKI(공개 키 기반 구조)의 구성 요소에 해당하지 않는 것은?
1 인증 기관(CA)
2 등록 기관(RA)
3 대칭 키 관리 시스템
4 인증서 폐지 목록(CRL)"
금융보안IT,금융IT보안 심화,"다음 중 정보보안 정책 운영을 위해 수행해야 할 작업으로 가장 적절한 것은?
1 운영체제별 보안 특성 파악 및 설정
2 네트워크 장비의 물리적 위치 변경
3 사용자 인터페이스 디자인 개선
4 데이터베이스 성능 최적화"
금융보안IT,금융IT보안 심화,"다음 중 대칭키 암호 알고리즘에 해당하는 것은?
1 RSA
2 DES
3 ECC
4 DSA"
금융보안IT,금융IT보안 심화,"해시함수의 주요 요구사항 중 하나로, 입력 데이터의 작은 변화가 출력 값에 큰 변화를 일으키는 성질을 무엇이라고 하는가?
1 충돌 저항성
2 역상 저항성
3 제2 역상 저항성
4 혼돈성"
금융보안IT,금융IT보안 심화,"다음 중 해시함수의 요구사항으로 가장 적절하지 않은 것은?
1 충돌 저항성
2 역상 저항성
3 제2 역상 저항성
4 낮은 계산 복잡성"
금융보안IT,금융IT보안 심화,"정보보호 관리체계 인증(ISMS-P)에 대한 설명으로 옳지 않은 것은?
1 정보보호 관리체계 인증은 정보보호와 개인정보보호를 통합한 인증제도이다.
2 ISMS-P 인증은 정보보호 관리체계의 수립, 운영, 유지, 개선을 포함한다.
3 ISMS-P 인증은 법적 강제성이 없으며, 자율적으로 신청할 수 있다.
4 ISMS-P 인증은 정보보호 대책의 이행 여부를 평가한다."
금융보안IT,금융IT보안 심화,"위험분석 및 계획수립 단계에서 수행해야 할 주요 활동이 아닌 것은?
1 정보자산 식별 및 분석
2 위험평가 및 위험도 산정
3 정보보호 대책의 우선순위 결정
4 정보보호 제품 구매"
금융보안IT,금융IT보안 심화,"다음 중 정보자산 식별 및 분석에 해당하지 않는 것은?
1 정보자산의 목록 작성
2 정보자산의 가치 평가
3 정보보호 대책 선정
4 정보자산의 중요도 분석"
금융보안IT,금융IT보안 심화,"위험분석 및 평가 과정에서 수행해야 할 첫 번째 단계는 무엇인가?
1 위험분석 및 계획수립
2 정보자산 식별 및 분석
3 위험평가
4 정보보호 대책 선정 및 계획서 작성"
금융보안IT,금융IT보안 심화,"다음 중 관리적 보호대책 구현 및 운영에 포함되지 않는 것은?
1 내부감사
2 침해사고 예방‧대응
3 시스템 및 SW개발 보안
4 업무연속성관리"
금융보안IT,금융IT보안 심화,"다음 중 정보보호 관리체계(ISMS) 인증의 주요 목적에 해당하지 않는 것은 무엇인가?
1 정보보호 관리체계의 지속적 개선
2 정보보호 사고 발생 시 대응 능력 강화
3 정보보호 관련 법규 준수
4 정보보호 제품의 성능 평가"
금융보안IT,금융IT보안 심화,"다음 중 금융기관에서 정보보호 관리 체계를 구축할 때 가장 먼저 수행해야 할 단계는 무엇인가?
1 위험 평가
2 정보보호 정책 수립
3 보안 교육 및 훈련
4 보안 감사"
금융보안IT,금융IT보안 심화,"다음 중 정보보호 제품인증(CC)에 대한 설명으로 옳지 않은 것은?
1 정보보호 제품인증은 제품의 보안 기능과 보안 보증 요구사항을 평가한다.
2 정보보호 제품인증은 국제 표준에 따라 평가된다.
3 정보보호 제품인증은 모든 정보보호 제품에 대해 의무적으로 받아야 한다.
4 정보보호 제품인증은 제품의 보안성을 객관적으로 증명하는 제도이다."
금융보안IT,금융IT보안 심화,"다음 중 시스템 서버의 보안 설정에 대한 설명으로 가장 적절한 것은?
1 DB 서버는 중요 정보가 암호화되지 않아도 된다.
2 DNS 서버는 불필요한 명령어 수행이 허가되어 있어야 한다.
3 E-mail 서버는 스팸메일 릴레이가 허용되어야 한다.
4 WEB/WAS 서버는 다양한 공격 유형에 대비하여 보안 설정이 적절해야 한다."
금융보안IT,금융IT보안 심화,"다음 중 시스템 보안 위협에 해당하지 않는 것은?
1 내부자 위협
2 보안 설정
3 도청
4 정보 유출"
금융보안IT,금융IT보안 심화,"시스템 보안에서 서버 운영체제의 보안 설정을 점검할 때 확인해야 할 사항으로 가장 적절한 것은?
1 서버의 물리적 위치
2 운영체제의 버전 정보 노출 여부
3 네트워크 케이블의 종류
4 사용자 인터페이스 디자인"
금융보안IT,금융IT보안 심화,"시스템 보안에서 시스템 환경정보, 인증정보, 시스템/감사 로그의 중요성에 대한 설명으로 가장 적절한 것은?
1 시스템 환경정보는 시스템의 물리적 위치를 파악하는 데 사용된다.
2 인증정보는 사용자 접근을 제어하고 권한을 부여하는 데 사용된다.
3 시스템 로그는 시스템의 성능을 모니터링하는 데 주로 사용된다.
4 감사 로그는 시스템의 네트워크 트래픽을 분석하는 데 사용된다."
금융보안IT,금융IT보안 심화,"다음 중 시스템 보안 위협 및 공격기법에 대한 설명으로 옳지 않은 것은?
1 APT 공격은 장기간에 걸쳐 지속적으로 이루어지는 표적형 공격이다.
2 SQL Injection은 데이터베이스에 악의적인 SQL 코드를 삽입하는 공격이다.
3 Buffer Overflow는 메모리 버퍼의 경계를 넘어서 데이터를 기록하는 공격이다.
4 취약점 스캐너는 시스템의 성능을 최적화하는 도구이다."
금융보안IT,금융IT보안 심화,"시스템 보안 위협 중 관리적 보안 위협에 해당하지 않는 것은 무엇입니까?
1 보안 설정
2 권한 설정
3 내부자 위협
4 SQL Injection"
금융보안IT,금융IT보안 심화,"다음 중 시스템 보안위협에 대한 설명으로 가장 적절한 것은?
1 보안설정은 기술적 보안위협에 해당한다.
2 권한설정은 기술적 보안위협에 해당한다.
3 내부자 위협은 관리적 보안위협에 해당한다.
4 도청은 관리적 보안위협에 해당한다."
금융보안IT,금융IT보안 심화,"다음 중 SQL Injection 공격에 대한 설명으로 가장 적절한 것은?
1 시스템의 알려진 취약점을 이용하여 공격하는 기법
2 장기간에 걸쳐 지속적으로 특정 대상을 목표로 하는 공격
3 데이터베이스의 구조를 파악하여 SQL 명령어를 삽입하는 공격
4 메모리의 버퍼 크기를 초과하는 데이터를 입력하여 발생시키는 공격"
금융보안IT,금융IT보안 심화,"다음 중 시스템 보안 위협 및 공격에 대한 예방과 대응 방법으로 가장 적절한 것은?
1 정기적인 보안 패치 적용
2 비밀번호를 주기적으로 변경하지 않음
3 모든 사용자에게 관리자 권한 부여
4 보안 설정을 기본값으로 유지"
금융보안IT,금융IT보안 심화,"다음 중 클라우드 보안 관리에 대한 설명으로 가장 적절한 것은?
1 클라우드 서비스 제공자의 보안 설정만 신경 쓰면 된다.
2 데이터 암호화는 선택 사항이다.
3 클라우드 환경에서도 강력한 인증 메커니즘을 사용해야 한다.
4 클라우드 보안은 물리적 보안에만 집중하면 된다."
금융보안IT,금융IT보안 심화,"시스템 보안 대응 기술 중 로그 분석을 통해 얻을 수 있는 주요 정보로 가장 적절한 것은?
1 시스템의 물리적 위치
2 사용자 인증 정보
3 시스템의 취약점 목록
4 비인가 접근 시도 내역"
